player_id,alliance_tag,account_creation_date,total_power_level,resources_transferred_out,days_since_last_login
ShadowHunter3475,[KING],2026-06-23,23931,39930,0
FrostKnight3240,[BETA],2026-06-24,88789,7330,4
StormSniper4290,[NOVA],2026-06-11,146098,12572,1
StormSniper2111,[KING],2026-06-11,612659,58840,1
ShadowHunter1964,[KING],2026-06-23,102613,48628,3
FrostPhantom8048,[WAR],2026-06-06,787238,104595,2
StormKnight4385,[VOID],2026-06-20,196435,64589,0
RadiantKnight4948,[FARM],2026-06-15,388035,65997,3
ShadowHunter4955,[WAR],2026-06-08,168691,63839,5
RadiantBeast5675,[KING],2026-06-06,393398,125124,4
GhostGoblin7722,[KING],2026-06-22,101964,85325,5
FrostViper4624,[KING],2026-06-15,626437,146608,0
ShadowSniper5933,[NOVA],2026-06-20,622469,108978,4
IronHunter5531,[VOID],2026-06-15,522167,127295,0
ShadowGoblin8718,[WAR],2026-06-15,8489,83658,2
IronKnight7220,[APEX],2026-06-11,170691,121998,4
ShadowKnight9106,[VOID],2026-06-16,736813,44407,2
DarkWarlord6728,[KING],2026-06-09,827600,74069,0
GhostGoblin3338,[NULL],2026-06-14,25796,71319,4
RadiantWarlord3732,[FARM],2026-06-14,117734,62174,5
StormGoblin1296,[NOVA],2026-06-07,485063,94686,3
ToxicWarlord1763,[BETA],2026-06-08,677531,134204,4
RadiantRogue4503,[VOID],2026-06-25,526697,51429,0
RadiantHunter7920,[KING],2026-06-22,827055,61894,4
ShadowGoblin6963,[VOID],2026-06-12,463766,26177,5
ShadowWarlord5488,[FARM],2026-06-07,121509,148432,4
StormHunter5798,[NOVA],2026-06-25,290068,142151,3
StormViper4916,[NULL],2026-06-17,279482,31236,2
GhostPhantom2799,[NULL],2026-06-10,243520,19589,1
IronViper4189,[WAR],2026-06-18,162819,28011,0
FrostWarlord5004,[NOVA],2026-06-18,11239,73793,5
RadiantBeast527,[KING],2026-06-08,529195,125063,0
VoidPhantom2793,[BETA],2026-06-17,213265,134228,4
IronPhantom8650,[VOID],2026-06-26,783103,144434,0
StormBeast6967,[KING],2026-06-20,456225,101734,4
StormPhantom6018,[FARM],2026-06-12,191522,137016,2
VoidViper9399,[VOID],2026-06-15,353378,136405,2
FrostViper5721,[WAR],2026-06-25,488701,41487,5
IronBeast2890,[NULL],2026-06-26,336049,11504,0
StormViper1926,[FARM],2026-06-11,766424,24207,0
CrimsonViper7858,[KING],2026-06-09,548207,132297,2
ToxicViper1162,[APEX],2026-06-15,475903,65508,3
ShadowPhantom4622,[BETA],2026-06-14,693621,2057,4
StormPhantom6345,[NOVA],2026-06-13,440357,104610,3
IronMage2775,[NOVA],2026-06-09,647169,82958,3
FrostGoblin1435,[NOVA],2026-06-23,641166,96314,3
VoidSniper7993,[APEX],2026-06-26,561293,144808,2
DarkViper4601,[BETA],2026-06-09,47262,27496,5
ShadowBeast6253,[NOVA],2026-06-09,577157,144315,1
User5076905,[FARM],2026-06-27,240,1344711,16
FrostHunter9269,[BETA],2026-06-17,685731,39444,1
CrimsonViper510,[NULL],2026-06-16,228296,93141,4
DarkBeast5245,[KING],2026-06-09,128815,7748,0
ToxicHunter3060,[KING],2026-06-25,624705,76737,2
IronSniper3602,[KING],2026-06-21,418469,27248,2
GhostViper7346,[FARM],2026-06-17,460712,38955,5
VoidMage584,[NOVA],2026-06-18,634691,71457,0
StormSniper8944,[NOVA],2026-06-26,356992,104797,2
ToxicHunter9603,[NOVA],2026-06-09,739360,85820,0
StormSniper715,[NULL],2026-06-14,746188,106101,3
ShadowKnight8437,[APEX],2026-06-09,323708,91893,1
DarkRogue3057,[FARM],2026-06-07,331451,46443,0
CrimsonWarlord8265,[NULL],2026-06-26,680310,11640,1
RadiantPhantom1985,[BETA],2026-06-16,108870,143028,5
IronMage3311,[BETA],2026-06-25,269187,79665,4
User9143535,[FARM],2026-06-26,789,1074068,22
User6350259,[FARM],2026-06-27,157,1039330,11
FrostSniper3663,[NOVA],2026-06-23,511648,140874,2
FrostHunter9778,[BETA],2026-06-25,257040,112705,4
CrimsonGoblin3703,[FARM],2026-06-06,661969,64752,2
RadiantSniper3097,[WAR],2026-06-14,487133,44343,4
CrimsonHunter3302,[NULL],2026-06-14,584770,66258,3
User3429678,[FARM],2026-06-24,671,673885,11
CrimsonHunter4014,[KING],2026-06-10,35033,92356,4
RadiantHunter8745,[VOID],2026-06-20,744194,34896,4
RadiantRogue30,[NOVA],2026-06-23,844532,27239,0
GhostHunter4094,[BETA],2026-06-07,177637,129969,2
VoidGoblin9282,[FARM],2026-06-19,378480,68244,0
ToxicBeast6111,[KING],2026-06-20,138682,54566,4
StormMage5280,[APEX],2026-06-13,104607,16142,1
ShadowViper568,[BETA],2026-06-24,622088,74878,4
RadiantRogue4295,[APEX],2026-06-17,705656,9604,4
IronViper1205,[BETA],2026-06-22,312179,29546,3
CrimsonGoblin3652,[WAR],2026-06-08,327670,43528,0
ToxicSniper3306,[BETA],2026-06-07,430537,2949,0
DarkGoblin115,[WAR],2026-06-21,844805,13497,1
User7126739,[FARM],2026-06-21,303,1332632,19
RadiantKnight9077,[BETA],2026-06-10,178507,58890,4
ToxicPhantom7991,[BETA],2026-06-19,86275,65260,5
StormWarlord5854,[NOVA],2026-06-26,732819,39337,5
User3854354,[FARM],2026-06-24,671,1900671,15
CrimsonViper6986,[NULL],2026-06-13,663495,104535,4
CrimsonHunter4218,[KING],2026-06-13,550508,119387,3
ShadowWarlord2970,[BETA],2026-06-23,510552,130209,4
StormPhantom3416,[APEX],2026-06-10,419609,87116,5
RadiantGoblin587,[BETA],2026-06-11,334593,61279,3
CrimsonPhantom697,[VOID],2026-06-08,103467,20310,1
DarkGoblin6761,[WAR],2026-06-22,373407,42352,4
IronKnight3446,[VOID],2026-06-17,610112,45872,1
User6353320,[FARM],2026-06-24,540,1621719,18
CrimsonWarlord853,[FARM],2026-06-13,843723,108033,5
DarkWarlord3331,[NOVA],2026-06-11,258261,38476,1
IronBeast9124,[VOID],2026-06-17,706400,140832,0
VoidMage2345,[NOVA],2026-06-06,531983,92303,2
FrostGoblin5982,[FARM],2026-06-14,519238,100376,4
CrimsonViper1808,[NULL],2026-06-18,56879,112752,2
DarkBeast5407,[APEX],2026-06-22,168117,130068,1
StormBeast3852,[WAR],2026-06-18,693666,16962,5
StormRogue832,[VOID],2026-06-17,808131,145952,5
DarkWarlord7232,[KING],2026-06-26,815436,45184,0
VoidMage2412,[FARM],2026-06-19,359128,9092,5
DarkHunter6992,[VOID],2026-06-08,720617,44460,5
VoidRogue7899,[KING],2026-06-09,457902,77696,4
VoidKnight7065,[BETA],2026-06-15,665659,149975,5
CrimsonRogue6368,[WAR],2026-06-06,781465,79146,3
VoidViper6273,[BETA],2026-06-06,483537,67003,4
RadiantViper1289,[KING],2026-06-26,167355,98603,4
FrostWarlord8809,[WAR],2026-06-15,666925,25717,4
FrostRogue8764,[APEX],2026-06-12,362016,81478,5
User2213034,[FARM],2026-06-28,817,1455002,21
CrimsonHunter2889,[NOVA],2026-06-20,718312,12117,0
IronGoblin9521,[APEX],2026-06-07,614088,135387,2
ShadowGoblin5769,[FARM],2026-06-07,780296,55362,5
DarkGoblin2117,[KING],2026-06-16,19243,14028,5
CrimsonKnight7987,[WAR],2026-06-13,680985,63303,4
VoidKnight4108,[FARM],2026-06-08,354247,115307,2
FrostViper1707,[APEX],2026-06-26,8126,32572,1
RadiantSniper3520,[APEX],2026-06-22,810818,10217,2
FrostRogue9168,[KING],2026-06-21,249753,125635,1
User9466752,[FARM],2026-06-26,109,1329741,8
FrostBeast2047,[NOVA],2026-06-13,264223,96716,2
ToxicPhantom4581,[WAR],2026-06-12,123439,68171,1
ToxicWarlord9125,[WAR],2026-06-14,668172,58354,5
User9705347,[FARM],2026-06-25,534,1627849,21
StormMage2438,[FARM],2026-06-08,833995,21242,3
GhostRogue2780,[WAR],2026-06-19,748130,145510,1
GhostRogue3348,[NULL],2026-06-18,290302,87162,4
ToxicMage8356,[FARM],2026-06-09,144730,61321,5
RadiantSniper8406,[NOVA],2026-06-24,454111,22346,3
ShadowWarlord3460,[NULL],2026-06-15,623468,49900,0
StormMage1951,[NOVA],2026-06-09,131086,130173,2
CrimsonHunter715,[BETA],2026-06-20,365453,46055,2
DarkMage3760,[FARM],2026-06-10,26536,50269,0
RadiantGoblin5132,[BETA],2026-06-23,702215,136771,1
ShadowBeast8735,[NULL],2026-06-20,351675,24616,5
RadiantWarlord5591,[APEX],2026-06-20,366117,128161,3
ToxicPhantom1130,[NOVA],2026-06-11,609059,106523,3
DarkRogue1161,[KING],2026-06-20,203751,91821,3
ToxicRogue5233,[NULL],2026-06-14,675978,116128,0
ShadowViper7677,[VOID],2026-06-15,182759,88419,1
VoidKnight8738,[BETA],2026-06-20,295275,75803,4
ShadowPhantom9540,[WAR],2026-06-11,170619,66526,3
RadiantRogue5368,[KING],2026-06-09,557175,38736,3
CrimsonGoblin2078,[KING],2026-06-19,72956,105726,4
StormSniper6290,[BETA],2026-06-18,499505,124867,3
StormKnight2374,[NULL],2026-06-19,682228,38576,3
StormViper1918,[APEX],2026-06-26,743892,36896,0
GhostRogue4309,[NOVA],2026-06-17,462025,95517,5
GhostRogue5967,[WAR],2026-06-09,71920,120599,1
DarkRogue6054,[VOID],2026-06-12,448281,76219,2
GhostWarlord1078,[VOID],2026-06-26,519877,53062,4
FrostWarlord1591,[NULL],2026-06-18,233323,68625,3
StormHunter3559,[FARM],2026-06-13,405071,59351,3
FrostPhantom2381,[VOID],2026-06-21,490548,1125,4
CrimsonGoblin1440,[KING],2026-06-26,770894,33437,5
ToxicRogue1818,[BETA],2026-06-21,578181,124767,1
RadiantKnight634,[BETA],2026-06-11,557146,130970,5
StormViper4369,[FARM],2026-06-22,440847,96297,0
ShadowGoblin6455,[KING],2026-06-06,780375,29545,4
ToxicHunter1581,[BETA],2026-06-16,817152,68457,3
VoidHunter4502,[NULL],2026-06-20,294717,83876,2
FrostKnight7477,[VOID],2026-06-20,334964,99138,5
DarkGoblin9349,[VOID],2026-06-07,609058,133332,5
ToxicWarlord263,[NULL],2026-06-24,28934,130479,2
RadiantPhantom74,[NOVA],2026-06-23,541090,140889,3
CrimsonRogue4243,[VOID],2026-06-11,624952,65580,3
ShadowBeast35,[BETA],2026-06-10,42978,53280,0
IronSniper8899,[KING],2026-06-16,587531,17844,5
DarkKnight5380,[VOID],2026-06-20,728677,65463,1
ShadowGoblin9311,[APEX],2026-06-23,347151,46965,4
ToxicMage3691,[NULL],2026-06-20,455369,88018,4
IronPhantom9543,[KING],2026-06-21,447829,31713,5
GhostHunter6575,[NOVA],2026-06-26,457756,100168,3
ToxicMage8341,[VOID],2026-06-07,716337,108863,2
DarkBeast8478,[NOVA],2026-06-14,14840,148764,1
ToxicBeast8057,[NOVA],2026-06-24,210181,77277,0
IronRogue3309,[APEX],2026-06-16,812924,35495,0
ToxicHunter9758,[APEX],2026-06-23,428404,2665,5
DarkViper845,[NOVA],2026-06-21,712369,15789,5
ShadowGoblin852,[NULL],2026-06-13,555951,68148,1
ToxicViper7667,[FARM],2026-06-18,398523,125773,1
User2582394,[FARM],2026-06-27,320,1518964,25
GhostGoblin9687,[FARM],2026-06-18,80748,81404,4
GhostGoblin6982,[FARM],2026-06-12,301412,43965,3
RadiantWarlord6283,[VOID],2026-06-08,411598,88122,5
FrostWarlord9559,[WAR],2026-06-16,788074,10555,4
StormBeast559,[APEX],2026-06-15,362880,25761,2
FrostBeast1705,[WAR],2026-06-07,210554,34935,3
VoidHunter7450,[APEX],2026-06-25,788508,138515,0
GhostViper4905,[WAR],2026-06-20,816900,126494,2
ShadowBeast3931,[WAR],2026-06-24,149936,59155,3
ToxicGoblin8762,[APEX],2026-06-11,540890,93475,4
IronViper4705,[VOID],2026-06-14,775981,108444,5
ShadowBeast1174,[NULL],2026-06-20,508607,120617,2
User1136124,[FARM],2026-06-24,806,1357127,13
CrimsonRogue6666,[VOID],2026-06-18,137007,85317,2
User5764108,[FARM],2026-06-24,164,1925742,15
ToxicViper4707,[NULL],2026-06-25,457456,111588,3
FrostMage5702,[VOID],2026-06-25,393991,118775,1
IronBeast7059,[FARM],2026-06-16,729390,128191,2
User5404124,[FARM],2026-06-22,412,604853,11
GhostSniper7914,[VOID],2026-06-16,565217,104563,0
ShadowHunter6683,[NULL],2026-06-06,296572,28912,4
ShadowMage85,[FARM],2026-06-14,318966,122177,2
ShadowRogue2761,[APEX],2026-06-20,792575,3357,1
ToxicHunter3656,[NULL],2026-06-09,213687,8082,0
FrostGoblin9331,[KING],2026-06-11,530126,130796,1
DarkKnight3239,[NOVA],2026-06-25,86146,144875,2
StormPhantom478,[WAR],2026-06-18,523969,28037,3
ShadowGoblin7841,[BETA],2026-06-19,388261,40098,0
CrimsonWarlord1075,[WAR],2026-06-13,116475,37658,1
GhostRogue1362,[APEX],2026-06-18,710550,16258,1
ShadowKnight7507,[FARM],2026-06-17,347706,83711,2
ShadowPhantom1527,[WAR],2026-06-11,477766,25122,5
StormRogue1205,[FARM],2026-06-22,593676,78516,1
RadiantMage6736,[WAR],2026-06-18,503026,9854,0
CrimsonHunter9136,[FARM],2026-06-11,582954,43585,3
User5104690,[FARM],2026-06-24,827,1814753,18
ToxicKnight474,[WAR],2026-06-20,780070,21579,3
StormKnight4258,[NULL],2026-06-11,135310,25352,0
IronKnight7388,[APEX],2026-06-26,406002,101690,5
VoidWarlord9082,[KING],2026-06-19,41139,144027,3
RadiantRogue6818,[NOVA],2026-06-17,176574,29239,5
RadiantViper2981,[VOID],2026-06-09,141674,143871,2
DarkGoblin7173,[FARM],2026-06-23,738484,81571,0
GhostSniper8558,[KING],2026-06-13,169305,77767,4
User1013107,[FARM],2026-06-27,281,885442,21
GhostGoblin6423,[VOID],2026-06-09,651158,95525,5
CrimsonWarlord5451,[NULL],2026-06-13,340440,87968,4
DarkGoblin5395,[NULL],2026-06-13,224606,5215,0
IronMage578,[NULL],2026-06-20,604241,85108,2
FrostMage9505,[VOID],2026-06-19,503067,50128,3
DarkPhantom6910,[APEX],2026-06-17,642656,112962,5
StormKnight5381,[KING],2026-06-16,542349,56602,2
CrimsonKnight777,[BETA],2026-06-10,705756,22562,2
ToxicSniper344,[APEX],2026-06-22,389022,2656,2
VoidViper9480,[KING],2026-06-16,358790,83945,2
StormSniper3349,[VOID],2026-06-12,459790,45552,1
RadiantMage5492,[NOVA],2026-06-14,265990,129635,0
StormPhantom6395,[NULL],2026-06-15,132367,14,3
VoidBeast7435,[NOVA],2026-06-15,109272,106849,4
ToxicSniper2758,[APEX],2026-06-18,346096,148996,1
VoidRogue9280,[NULL],2026-06-22,737904,75314,4
GhostGoblin4874,[KING],2026-06-07,335760,139297,1
VoidBeast2723,[KING],2026-06-25,6240,109545,0
DarkMage1203,[VOID],2026-06-20,658639,69172,5
CrimsonHunter1306,[KING],2026-06-10,774549,47735,5
StormPhantom419,[APEX],2026-06-25,232748,59751,1
ShadowPhantom8546,[KING],2026-06-16,5306,45826,1
StormPhantom1100,[NULL],2026-06-15,188228,2117,4
ShadowBeast2571,[NULL],2026-06-24,417470,10168,2
ShadowSniper9837,[NOVA],2026-06-25,311581,96262,2
ShadowRogue3849,[KING],2026-06-15,210913,149437,5
RadiantBeast4915,[APEX],2026-06-15,331521,141029,2
IronGoblin1270,[VOID],2026-06-10,605613,18965,3
ShadowRogue3349,[VOID],2026-06-10,832835,94437,2
ToxicMage7452,[NOVA],2026-06-07,569212,108113,1
User7023246,[FARM],2026-06-21,549,594972,22
DarkGoblin7751,[WAR],2026-06-18,264409,25084,1
VoidWarlord4586,[APEX],2026-06-23,642483,82973,0
FrostPhantom1940,[NULL],2026-06-09,631307,130920,4
RadiantMage8932,[BETA],2026-06-11,125997,305,2
User1378299,[FARM],2026-06-28,583,1076342,18
CrimsonMage9244,[NOVA],2026-06-09,661111,7387,3
ShadowHunter7734,[NOVA],2026-06-22,369322,117335,0
DarkBeast8221,[FARM],2026-06-18,657483,75956,2
DarkPhantom875,[NOVA],2026-06-08,204647,51364,3
CrimsonSniper2806,[APEX],2026-06-18,77049,97314,2
GhostRogue2487,[VOID],2026-06-20,339434,115462,0
CrimsonViper9229,[KING],2026-06-07,711597,95000,2
GhostBeast9741,[NULL],2026-06-21,673634,72946,1
GhostHunter3835,[NOVA],2026-06-21,139187,38343,4
FrostGoblin1497,[WAR],2026-06-10,766051,52286,0
IronBeast813,[NULL],2026-06-22,819977,25414,1
StormRogue7367,[VOID],2026-06-19,793713,61623,4
VoidKnight8034,[WAR],2026-06-25,727272,122880,2
DarkRogue3279,[KING],2026-06-23,553649,52812,2
ShadowWarlord8626,[FARM],2026-06-11,353421,135313,4
ToxicPhantom8558,[BETA],2026-06-15,466208,79961,4
ToxicHunter6104,[WAR],2026-06-12,792793,8583,2
VoidRogue3830,[FARM],2026-06-06,747038,8420,4
DarkMage2419,[NULL],2026-06-10,836680,28266,0
User2734182,[FARM],2026-06-27,367,1962199,25
ShadowGoblin9763,[NOVA],2026-06-23,485308,4322,1
RadiantWarlord3967,[NULL],2026-06-10,579461,89332,0
RadiantBeast8001,[NOVA],2026-06-15,245721,36951,5
FrostMage9691,[KING],2026-06-11,430952,106267,0
ToxicGoblin5210,[FARM],2026-06-08,103966,111459,2
User2383143,[FARM],2026-06-21,545,1061864,8
ShadowSniper7072,[APEX],2026-06-21,350736,105361,0
User1586524,[FARM],2026-06-22,893,1601067,10
DarkRogue3056,[BETA],2026-06-10,464001,114157,2
ToxicGoblin8132,[WAR],2026-06-19,372769,92059,1
DarkMage5838,[NOVA],2026-06-16,9457,113873,3
User8478320,[FARM],2026-06-25,584,790948,17
VoidViper4998,[FARM],2026-06-16,139926,63994,1
DarkRogue4203,[KING],2026-06-13,717482,73630,5
User7044668,[FARM],2026-06-28,177,1698640,21
ShadowViper2339,[NULL],2026-06-13,688597,38131,4
FrostPhantom4323,[KING],2026-06-12,478280,53456,3
ShadowViper1630,[BETA],2026-06-24,293174,148144,1
RadiantRogue2762,[KING],2026-06-25,5961,112822,4
GhostHunter9645,[KING],2026-06-18,756638,53869,3
User7644127,[FARM],2026-06-28,486,1810589,18
CrimsonSniper1564,[VOID],2026-06-15,720270,23734,5
RadiantWarlord4713,[BETA],2026-06-13,572858,103420,5
IronWarlord7727,[VOID],2026-06-16,506137,15000,2
DarkWarlord9626,[BETA],2026-06-25,767154,63286,1
StormSniper3466,[APEX],2026-06-24,379820,108718,1
GhostPhantom7655,[KING],2026-06-19,198052,70800,1
GhostHunter229,[VOID],2026-06-08,137999,142093,5
ToxicPhantom4768,[VOID],2026-06-16,774617,18155,2
CrimsonWarlord4630,[VOID],2026-06-13,85615,34828,4
RadiantMage3629,[KING],2026-06-11,780102,66052,3
IronViper9169,[FARM],2026-06-25,772293,103738,1
ToxicKnight5811,[NULL],2026-06-14,266265,132941,0
ShadowSniper6256,[BETA],2026-06-13,100033,105613,1
VoidPhantom7447,[NULL],2026-06-22,295858,85951,0
RadiantViper6253,[WAR],2026-06-14,495480,71072,3
GhostHunter2468,[FARM],2026-06-15,24811,4413,1
VoidGoblin6921,[NOVA],2026-06-14,14959,118555,0
CrimsonMage1678,[NOVA],2026-06-22,409832,124510,2
DarkKnight613,[NOVA],2026-06-09,309685,103047,3
VoidRogue3345,[WAR],2026-06-23,17025,120746,2
User3350892,[FARM],2026-06-28,861,1758771,24
DarkViper3956,[VOID],2026-06-11,74502,33367,2
StormPhantom4811,[BETA],2026-06-20,705106,38673,0
RadiantHunter7083,[KING],2026-06-26,842017,96354,1
FrostPhantom1450,[BETA],2026-06-18,170396,52492,4
IronMage9897,[WAR],2026-06-10,830785,27537,2
RadiantViper1555,[KING],2026-06-06,551327,94348,3
RadiantGoblin1849,[NULL],2026-06-15,398153,38664,1
ToxicBeast2004,[NULL],2026-06-24,389315,3931,4
ShadowWarlord7525,[APEX],2026-06-18,738802,75336,1
DarkKnight8732,[KING],2026-06-25,315055,36285,1
IronRogue9985,[BETA],2026-06-07,27366,46540,1
RadiantRogue1111,[KING],2026-06-19,99733,115080,5
IronHunter8926,[NOVA],2026-06-21,192719,98517,1
FrostRogue9839,[KING],2026-06-11,94600,38765,4
GhostKnight4566,[KING],2026-06-26,606661,15058,1
GhostHunter9511,[VOID],2026-06-16,291410,22321,0
CrimsonWarlord7340,[FARM],2026-06-19,399125,144467,1
FrostViper4770,[KING],2026-06-07,79662,135917,0
ShadowRogue6301,[KING],2026-06-12,619388,143559,3
User5470993,[FARM],2026-06-21,391,1274018,15
VoidPhantom9251,[FARM],2026-06-07,242000,78463,5
VoidRogue1053,[KING],2026-06-07,304447,10650,0
GhostPhantom4293,[NOVA],2026-06-17,646656,20838,0
User4828913,[FARM],2026-06-25,888,1684886,11
GhostMage2479,[VOID],2026-06-07,306314,132555,2
ShadowGoblin5013,[FARM],2026-06-08,259632,101425,2
VoidPhantom4891,[BETA],2026-06-20,624883,116279,5
GhostKnight9922,[NOVA],2026-06-07,828979,45411,0
IronRogue4558,[VOID],2026-06-11,41706,144406,1
DarkViper9900,[APEX],2026-06-20,31571,136236,2
VoidViper3321,[APEX],2026-06-19,134583,119295,1
StormBeast7465,[WAR],2026-06-25,667345,129449,2
CrimsonKnight2300,[WAR],2026-06-08,179295,42352,5
IronGoblin3251,[APEX],2026-06-16,632401,49709,0
VoidGoblin9941,[NOVA],2026-06-23,642476,118771,3
ShadowKnight368,[BETA],2026-06-09,499554,145873,4
ShadowGoblin1644,[FARM],2026-06-18,243334,122528,5
RadiantBeast1923,[BETA],2026-06-13,573823,105752,0
StormHunter4044,[NOVA],2026-06-16,111183,98415,5
GhostMage2872,[NOVA],2026-06-11,339651,65216,4
DarkSniper2180,[NOVA],2026-06-20,463329,49093,0
DarkBeast5279,[VOID],2026-06-13,769042,129127,1
RadiantHunter8621,[WAR],2026-06-16,75354,110118,4
ShadowHunter4248,[APEX],2026-06-12,405669,20917,5
CrimsonMage3686,[NULL],2026-06-09,169533,85885,4
ShadowViper1284,[KING],2026-06-06,222970,137015,2
GhostHunter6042,[BETA],2026-06-11,759377,67771,4
CrimsonViper2292,[VOID],2026-06-18,110971,124502,2
RadiantHunter1409,[APEX],2026-06-08,157778,102670,1
StormViper3008,[WAR],2026-06-20,336268,122823,2
StormKnight5064,[KING],2026-06-19,642220,145132,2
VoidWarlord8162,[KING],2026-06-14,14240,123658,5
ToxicMage5039,[APEX],2026-06-24,482774,99892,2
DarkRogue677,[FARM],2026-06-12,472192,53273,4
GhostWarlord7748,[NULL],2026-06-24,488822,34873,5
StormPhantom5393,[BETA],2026-06-23,32286,125510,1
ShadowBeast4625,[KING],2026-06-12,673103,94230,4
IronBeast1939,[FARM],2026-06-10,677616,59128,1
GhostPhantom441,[WAR],2026-06-26,805136,64155,2
GhostViper7962,[WAR],2026-06-17,338201,102536,0
DarkWarlord5605,[VOID],2026-06-24,787128,15630,0
FrostKnight7274,[NULL],2026-06-14,134715,43793,0
RadiantGoblin6420,[NULL],2026-06-23,479739,115113,0
ShadowGoblin5018,[VOID],2026-06-10,220422,37510,3
VoidBeast7529,[NOVA],2026-06-22,788049,21007,0
RadiantSniper5672,[BETA],2026-06-12,503217,131409,1
DarkPhantom3048,[KING],2026-06-21,150807,97134,4
GhostHunter3847,[KING],2026-06-09,263933,42815,3
RadiantRogue5092,[FARM],2026-06-13,578531,144747,5
ShadowKnight2205,[APEX],2026-06-21,327473,73826,4
CrimsonWarlord7086,[WAR],2026-06-18,566218,117928,5
ToxicHunter791,[NOVA],2026-06-12,431122,84453,5
RadiantKnight9487,[FARM],2026-06-09,214701,127281,4
ShadowMage9354,[NULL],2026-06-08,51086,97226,0
IronRogue4989,[VOID],2026-06-10,458912,129390,5
DarkRogue617,[KING],2026-06-09,503508,129680,1
IronSniper2867,[KING],2026-06-26,569715,19483,3
ShadowGoblin3430,[NOVA],2026-06-25,724740,101469,0
VoidKnight5031,[VOID],2026-06-07,158908,1446,5
DarkViper9629,[VOID],2026-06-12,519930,88876,1
VoidWarlord9890,[WAR],2026-06-12,87112,15841,2
DarkGoblin4963,[APEX],2026-06-13,714056,57021,0
ShadowBeast1481,[FARM],2026-06-24,487904,69758,3
CrimsonKnight6879,[VOID],2026-06-24,658420,112854,1
DarkRogue8667,[FARM],2026-06-13,531434,56371,3
DarkWarlord1616,[BETA],2026-06-13,770244,38219,4
ShadowViper6881,[WAR],2026-06-14,610875,133911,4
RadiantPhantom4908,[NOVA],2026-06-19,723033,13980,1
RadiantHunter7773,[APEX],2026-06-10,702527,112855,2
ShadowViper3623,[NULL],2026-06-20,73371,21142,2
VoidKnight6979,[NULL],2026-06-19,785018,144740,2
CrimsonSniper9809,[APEX],2026-06-26,453917,109934,4
FrostSniper8572,[NOVA],2026-06-17,676765,56007,4
VoidKnight351,[WAR],2026-06-07,591717,202,5
ToxicPhantom9135,[NOVA],2026-06-18,733588,43089,4
ShadowKnight5227,[BETA],2026-06-20,511764,47061,0
GhostSniper3980,[VOID],2026-06-06,247691,110775,2
ToxicMage3206,[BETA],2026-06-14,374649,149119,2
VoidRogue1332,[KING],2026-06-12,94420,121822,2
ToxicMage897,[BETA],2026-06-10,614530,140526,4
ToxicWarlord211,[WAR],2026-06-14,790856,15560,4
FrostWarlord3865,[NOVA],2026-06-26,612637,98368,2
CrimsonGoblin8263,[NULL],2026-06-10,292080,35393,1
DarkGoblin1858,[NOVA],2026-06-20,536538,34493,0
