player_id,alliance_tag,account_creation_date,total_power_level,resources_transferred_out,days_since_last_login,integrity_flag
User6588368,[FARM],2026-06-21,556,1859646,18,High Probability Bot
User3275832,[FARM],2026-06-25,197,1857713,8,High Probability Bot
User3334617,[FARM],2026-06-25,759,1857007,20,High Probability Bot
User4651936,[FARM],2026-06-23,155,1856593,20,High Probability Bot
User9722603,[FARM],2026-06-28,135,1853072,17,High Probability Bot
User7752252,[FARM],2026-06-24,693,1843347,18,High Probability Bot
User1473644,[FARM],2026-06-25,603,1833101,20,High Probability Bot
User2049138,[FARM],2026-06-27,407,1832029,20,High Probability Bot
User7366605,[FARM],2026-06-22,848,1831005,8,High Probability Bot
User7154905,[FARM],2026-06-25,579,1829818,18,High Probability Bot
User7769715,[FARM],2026-06-21,301,1822701,21,High Probability Bot
User8879647,[FARM],2026-06-23,252,1821096,15,High Probability Bot
User9519203,[FARM],2026-06-27,396,1818496,15,High Probability Bot
User5104690,[FARM],2026-06-24,827,1814753,18,High Probability Bot
User5751072,[FARM],2026-06-28,831,1812734,22,High Probability Bot
User7644127,[FARM],2026-06-28,486,1810589,18,High Probability Bot
User7434001,[FARM],2026-06-28,445,1810472,22,High Probability Bot
User4843824,[FARM],2026-06-22,783,1805192,18,High Probability Bot
User1315117,[FARM],2026-06-22,227,1801258,16,High Probability Bot
User4415405,[FARM],2026-06-26,668,1799184,8,High Probability Bot
User9704360,[FARM],2026-06-22,106,1797851,20,High Probability Bot
User6894698,[FARM],2026-06-23,498,1793509,15,High Probability Bot
User3573756,[FARM],2026-06-23,112,1787733,14,High Probability Bot
User3024787,[FARM],2026-06-27,215,1787493,22,High Probability Bot
User1839727,[FARM],2026-06-24,306,1787427,16,High Probability Bot
User8533642,[FARM],2026-06-24,231,1780712,22,High Probability Bot
User7052136,[FARM],2026-06-22,692,1774107,24,High Probability Bot
User3050748,[FARM],2026-06-23,135,1773830,24,High Probability Bot
User6035897,[FARM],2026-06-24,185,1769488,13,High Probability Bot
User4100908,[FARM],2026-06-27,666,1767973,21,High Probability Bot
User8633101,[FARM],2026-06-25,352,1764159,12,High Probability Bot
User9081122,[FARM],2026-06-28,639,1761701,21,High Probability Bot
User6758037,[FARM],2026-06-23,495,1760772,13,High Probability Bot
User3350892,[FARM],2026-06-28,861,1758771,24,High Probability Bot
User4969676,[FARM],2026-06-23,432,1758171,12,High Probability Bot
User1671065,[FARM],2026-06-21,274,1755482,23,High Probability Bot
User3837285,[FARM],2026-06-23,442,1744436,8,High Probability Bot
User7529006,[FARM],2026-06-27,310,1744157,19,High Probability Bot
User5757096,[FARM],2026-06-27,266,1724994,8,High Probability Bot
User8243789,[FARM],2026-06-23,324,1718428,11,High Probability Bot
User3543047,[FARM],2026-06-24,831,1713208,18,High Probability Bot
User4962786,[FARM],2026-06-27,608,1709008,9,High Probability Bot
User4951517,[FARM],2026-06-24,193,1706870,22,High Probability Bot
User8459268,[FARM],2026-06-25,236,1700404,16,High Probability Bot
User7044668,[FARM],2026-06-28,177,1698640,21,High Probability Bot
User3517253,[FARM],2026-06-26,472,1696261,9,High Probability Bot
User9677238,[FARM],2026-06-22,671,1693938,21,High Probability Bot
User6757848,[FARM],2026-06-24,243,1686414,19,High Probability Bot
User4828913,[FARM],2026-06-25,888,1684886,11,High Probability Bot
User7313438,[FARM],2026-06-26,778,1671293,23,High Probability Bot
User3113901,[FARM],2026-06-26,897,1669258,13,High Probability Bot
User4643542,[FARM],2026-06-21,324,1662681,13,High Probability Bot
User7824154,[FARM],2026-06-27,657,1661281,19,High Probability Bot
User1705321,[FARM],2026-06-28,557,1655493,20,High Probability Bot
User4873849,[FARM],2026-06-24,756,1652315,25,High Probability Bot
User8534113,[FARM],2026-06-28,843,1651938,24,High Probability Bot
User8744602,[FARM],2026-06-22,189,1643742,19,High Probability Bot
User9222974,[FARM],2026-06-22,731,1629799,22,High Probability Bot
User7819004,[FARM],2026-06-26,274,1628597,14,High Probability Bot
User9705347,[FARM],2026-06-25,534,1627849,21,High Probability Bot
User6670130,[FARM],2026-06-22,536,1626183,9,High Probability Bot
User4808765,[FARM],2026-06-21,824,1625922,18,High Probability Bot
User1125939,[FARM],2026-06-25,739,1623406,23,High Probability Bot
User6353320,[FARM],2026-06-24,540,1621719,18,High Probability Bot
User1553625,[FARM],2026-06-28,834,1620786,9,High Probability Bot
User7273599,[FARM],2026-06-24,875,1619577,25,High Probability Bot
User1586524,[FARM],2026-06-22,893,1601067,10,High Probability Bot
User6726926,[FARM],2026-06-23,299,1600932,12,High Probability Bot
User2588165,[FARM],2026-06-26,181,1588166,18,High Probability Bot
User6769767,[FARM],2026-06-27,202,1578336,14,High Probability Bot
User3500599,[FARM],2026-06-25,555,1577221,23,High Probability Bot
User7645919,[FARM],2026-06-27,722,1562670,12,High Probability Bot
User1333347,[FARM],2026-06-25,682,1559607,22,High Probability Bot
User7260605,[FARM],2026-06-27,748,1556834,10,High Probability Bot
User4132776,[FARM],2026-06-26,225,1556478,10,High Probability Bot
User7230336,[FARM],2026-06-23,410,1552984,9,High Probability Bot
User2002905,[FARM],2026-06-28,199,1550101,25,High Probability Bot
User1462053,[FARM],2026-06-28,890,1548686,13,High Probability Bot
User7142604,[FARM],2026-06-25,191,1547030,10,High Probability Bot
User2247329,[FARM],2026-06-23,556,1546612,24,High Probability Bot
User8676979,[FARM],2026-06-27,214,1545194,15,High Probability Bot
User4453293,[FARM],2026-06-25,773,1541155,18,High Probability Bot
User7205016,[FARM],2026-06-27,365,1537956,16,High Probability Bot
User5646949,[FARM],2026-06-24,132,1529902,19,High Probability Bot
User8248395,[FARM],2026-06-26,817,1528610,8,High Probability Bot
User9632837,[FARM],2026-06-23,809,1522026,18,High Probability Bot
User6745046,[FARM],2026-06-24,406,1519287,21,High Probability Bot
User2582394,[FARM],2026-06-27,320,1518964,25,High Probability Bot
User1877072,[FARM],2026-06-21,337,1516759,16,High Probability Bot
User5298845,[FARM],2026-06-22,734,1510762,14,High Probability Bot
User9439476,[FARM],2026-06-27,836,1508902,22,High Probability Bot
User6095265,[FARM],2026-06-25,825,1507361,18,High Probability Bot
User7739339,[FARM],2026-06-28,873,1501357,17,High Probability Bot
User2626488,[FARM],2026-06-27,610,1499117,23,High Probability Bot
User7600172,[FARM],2026-06-26,630,1497328,8,High Probability Bot
User9887841,[FARM],2026-06-28,614,1491885,21,High Probability Bot
User6888799,[FARM],2026-06-25,710,1485561,10,High Probability Bot
User9461232,[FARM],2026-06-21,221,1481309,25,High Probability Bot
User6568548,[FARM],2026-06-24,159,1478289,17,High Probability Bot
User2607367,[FARM],2026-06-22,258,1473947,17,High Probability Bot
User5229349,[FARM],2026-06-22,800,1469931,18,High Probability Bot
User2557279,[FARM],2026-06-24,164,1468508,11,High Probability Bot
User4254320,[FARM],2026-06-28,855,1467850,25,High Probability Bot
User5659365,[FARM],2026-06-25,730,1457619,21,High Probability Bot
User2213034,[FARM],2026-06-28,817,1455002,21,High Probability Bot
User4430778,[FARM],2026-06-21,864,1451275,9,High Probability Bot
User3783824,[FARM],2026-06-27,549,1444496,18,High Probability Bot
User5898851,[FARM],2026-06-25,706,1432194,22,High Probability Bot
User4331956,[FARM],2026-06-23,252,1426557,12,High Probability Bot
User1856588,[FARM],2026-06-23,739,1420012,8,High Probability Bot
User9539279,[FARM],2026-06-27,413,1415440,19,High Probability Bot
User4387194,[FARM],2026-06-26,109,1412156,11,High Probability Bot
User4865412,[FARM],2026-06-27,891,1410411,18,High Probability Bot
User4318081,[FARM],2026-06-28,681,1402737,13,High Probability Bot
User3871109,[FARM],2026-06-21,247,1397093,8,High Probability Bot
User5184621,[FARM],2026-06-27,524,1387557,20,High Probability Bot
User1701492,[FARM],2026-06-22,485,1373064,24,High Probability Bot
User5505812,[FARM],2026-06-26,367,1368453,13,High Probability Bot
User1136124,[FARM],2026-06-24,806,1357127,13,High Probability Bot
User5249808,[FARM],2026-06-23,720,1354619,14,High Probability Bot
User5076905,[FARM],2026-06-27,240,1344711,16,High Probability Bot
User8448534,[FARM],2026-06-27,221,1341467,8,High Probability Bot
User7126739,[FARM],2026-06-21,303,1332632,19,High Probability Bot
User5258302,[FARM],2026-06-22,501,1330534,25,High Probability Bot
User9466752,[FARM],2026-06-26,109,1329741,8,High Probability Bot
User7475648,[FARM],2026-06-26,306,1316724,16,High Probability Bot
User5059390,[FARM],2026-06-21,870,1308450,8,High Probability Bot
User4737613,[FARM],2026-06-27,191,1303786,14,High Probability Bot
User8815392,[FARM],2026-06-24,872,1303118,24,High Probability Bot
User9449840,[FARM],2026-06-27,198,1296430,25,High Probability Bot
User4048123,[FARM],2026-06-25,582,1293821,22,High Probability Bot
User7595280,[FARM],2026-06-26,829,1292182,11,High Probability Bot
User5393501,[FARM],2026-06-27,183,1288116,17,High Probability Bot
User5181588,[FARM],2026-06-24,200,1281743,10,High Probability Bot
User2631447,[FARM],2026-06-22,375,1275819,13,High Probability Bot
User5377814,[FARM],2026-06-26,729,1275036,24,High Probability Bot
User5470993,[FARM],2026-06-21,391,1274018,15,High Probability Bot
User9138951,[FARM],2026-06-22,211,1268606,20,High Probability Bot
User2534892,[FARM],2026-06-23,597,1247461,25,High Probability Bot
User2777716,[FARM],2026-06-21,741,1241621,19,High Probability Bot
User5934532,[FARM],2026-06-28,778,1240722,20,High Probability Bot
User3102521,[FARM],2026-06-25,193,1234146,9,High Probability Bot
User7563585,[FARM],2026-06-23,754,1227165,9,High Probability Bot
User5036529,[FARM],2026-06-24,722,1222441,11,High Probability Bot
User8720634,[FARM],2026-06-25,342,1216110,21,High Probability Bot
User3169307,[FARM],2026-06-28,503,1210834,15,High Probability Bot
User4479768,[FARM],2026-06-23,116,1209765,21,High Probability Bot
User9452934,[FARM],2026-06-21,141,1204878,21,High Probability Bot
User5686242,[FARM],2026-06-24,357,1203129,15,High Probability Bot
User4094797,[FARM],2026-06-25,525,1196037,19,High Probability Bot
User6370881,[FARM],2026-06-22,351,1193872,15,High Probability Bot
User6455761,[FARM],2026-06-23,891,1182350,18,High Probability Bot
User2589405,[FARM],2026-06-23,135,1182180,19,High Probability Bot
User6704602,[FARM],2026-06-26,276,1181138,25,High Probability Bot
User9875450,[FARM],2026-06-27,339,1180268,12,High Probability Bot
User3985804,[FARM],2026-06-24,530,1176497,17,High Probability Bot
User1935432,[FARM],2026-06-25,600,1162085,10,High Probability Bot
User2635390,[FARM],2026-06-24,753,1154085,23,High Probability Bot
User1596342,[FARM],2026-06-26,155,1151162,8,High Probability Bot
User2073103,[FARM],2026-06-24,532,1148970,13,High Probability Bot
User3817690,[FARM],2026-06-25,653,1148058,19,High Probability Bot
User7967645,[FARM],2026-06-22,677,1133668,21,High Probability Bot
User1710472,[FARM],2026-06-28,677,1132769,11,High Probability Bot
User6580297,[FARM],2026-06-26,658,1130085,14,High Probability Bot
User6947501,[FARM],2026-06-24,377,1129163,16,High Probability Bot
User5483668,[FARM],2026-06-28,146,1120051,9,High Probability Bot
User1996699,[FARM],2026-06-26,108,1091016,8,High Probability Bot
User8923611,[FARM],2026-06-22,773,1088389,24,High Probability Bot
User8046218,[FARM],2026-06-27,373,1087780,13,High Probability Bot
User4375359,[FARM],2026-06-21,623,1082408,16,High Probability Bot
User1851599,[FARM],2026-06-26,769,1078914,21,High Probability Bot
User1378299,[FARM],2026-06-28,583,1076342,18,High Probability Bot
User1940610,[FARM],2026-06-23,182,1075510,10,High Probability Bot
User9143535,[FARM],2026-06-26,789,1074068,22,High Probability Bot
User2455595,[FARM],2026-06-26,428,1062251,21,High Probability Bot
User2383143,[FARM],2026-06-21,545,1061864,8,High Probability Bot
User6350259,[FARM],2026-06-27,157,1039330,11,High Probability Bot
User5229443,[FARM],2026-06-22,227,1024905,16,High Probability Bot
User5494340,[FARM],2026-06-26,883,1017711,10,High Probability Bot
User7629406,[FARM],2026-06-28,831,1003605,19,High Probability Bot
User6065112,[FARM],2026-06-22,428,997716,12,High Probability Bot
User6098415,[FARM],2026-06-23,150,995492,18,High Probability Bot
User3901660,[FARM],2026-06-25,782,994357,11,High Probability Bot
User9212513,[FARM],2026-06-21,165,992919,20,High Probability Bot
User2491766,[FARM],2026-06-26,380,987134,22,High Probability Bot
User4975852,[FARM],2026-06-26,291,981066,14,High Probability Bot
User3637653,[FARM],2026-06-21,842,980247,13,High Probability Bot
User8691814,[FARM],2026-06-21,476,976394,21,High Probability Bot
User3573937,[FARM],2026-06-22,316,976161,23,High Probability Bot
User6968264,[FARM],2026-06-26,468,974094,12,High Probability Bot
User5254967,[FARM],2026-06-24,447,972862,24,High Probability Bot
User1268046,[FARM],2026-06-23,560,972431,22,High Probability Bot
User2960650,[FARM],2026-06-28,439,969420,9,High Probability Bot
User6714623,[FARM],2026-06-24,824,966822,8,High Probability Bot
User8221641,[FARM],2026-06-23,529,957235,25,High Probability Bot
User1850792,[FARM],2026-06-23,607,938980,9,High Probability Bot
User1575139,[FARM],2026-06-21,172,937476,22,High Probability Bot
User6164881,[FARM],2026-06-26,710,936971,12,High Probability Bot
User8538518,[FARM],2026-06-22,805,924489,20,High Probability Bot
User5925370,[FARM],2026-06-21,706,915466,21,High Probability Bot
User5918294,[FARM],2026-06-25,805,901978,21,High Probability Bot
User3009454,[FARM],2026-06-26,787,895571,15,High Probability Bot
User5832441,[FARM],2026-06-28,416,886665,23,High Probability Bot
User1013107,[FARM],2026-06-27,281,885442,21,High Probability Bot
User5207374,[FARM],2026-06-25,415,877648,23,High Probability Bot
User3125457,[FARM],2026-06-26,745,875294,22,High Probability Bot
User5860411,[FARM],2026-06-25,881,868892,25,High Probability Bot
User7706607,[FARM],2026-06-26,390,868488,20,High Probability Bot
User7983894,[FARM],2026-06-22,311,867415,21,High Probability Bot
User1663986,[FARM],2026-06-22,195,866889,23,High Probability Bot
User6255805,[FARM],2026-06-26,869,861883,13,High Probability Bot
User1898200,[FARM],2026-06-24,553,850614,24,High Probability Bot
User4906893,[FARM],2026-06-27,671,845304,10,High Probability Bot
User9776954,[FARM],2026-06-25,386,844638,22,High Probability Bot
User9639355,[FARM],2026-06-21,364,842699,19,High Probability Bot
User3083898,[FARM],2026-06-26,163,834193,15,High Probability Bot
User2236500,[FARM],2026-06-27,534,831588,22,High Probability Bot
User1806327,[FARM],2026-06-25,661,807360,9,High Probability Bot
User1488533,[FARM],2026-06-23,252,803851,21,High Probability Bot
User5718026,[FARM],2026-06-24,190,803274,24,High Probability Bot
User5295415,[FARM],2026-06-28,793,800345,23,High Probability Bot
User2890548,[FARM],2026-06-28,851,797013,9,High Probability Bot
User8412771,[FARM],2026-06-28,860,794645,14,High Probability Bot
User8478320,[FARM],2026-06-25,584,790948,17,High Probability Bot
User3886886,[FARM],2026-06-24,534,790055,10,High Probability Bot
User6344497,[FARM],2026-06-26,703,781953,19,High Probability Bot
User6842060,[FARM],2026-06-28,238,776602,20,High Probability Bot
User4360142,[FARM],2026-06-23,596,776259,11,High Probability Bot
User2921242,[FARM],2026-06-25,724,774196,22,High Probability Bot
User7475305,[FARM],2026-06-25,621,771870,22,High Probability Bot
User8085724,[FARM],2026-06-28,434,768468,17,High Probability Bot
User3807513,[FARM],2026-06-26,142,759986,20,High Probability Bot
User1512267,[FARM],2026-06-25,349,748313,9,High Probability Bot
User8344053,[FARM],2026-06-25,847,740689,21,High Probability Bot
User3396914,[FARM],2026-06-21,797,735875,20,High Probability Bot
User6232104,[FARM],2026-06-28,170,735001,21,High Probability Bot
User2872604,[FARM],2026-06-24,777,734763,9,High Probability Bot
User2780367,[FARM],2026-06-28,832,726893,21,High Probability Bot
User9588148,[FARM],2026-06-27,376,715667,20,High Probability Bot
User8680116,[FARM],2026-06-25,404,704630,15,High Probability Bot
User9889310,[FARM],2026-06-21,531,701151,23,High Probability Bot
User2454281,[FARM],2026-06-28,828,699273,19,High Probability Bot
User8649580,[FARM],2026-06-25,648,691439,15,High Probability Bot
User5095842,[FARM],2026-06-28,720,689607,14,High Probability Bot
User2070411,[FARM],2026-06-23,729,689152,9,High Probability Bot
User7610939,[FARM],2026-06-23,744,685658,24,High Probability Bot
User9048323,[FARM],2026-06-25,457,683026,10,High Probability Bot
User4923035,[FARM],2026-06-27,133,681583,19,High Probability Bot
User4331219,[FARM],2026-06-23,714,678748,14,High Probability Bot
User1899545,[FARM],2026-06-23,379,676527,24,High Probability Bot
User8682399,[FARM],2026-06-21,562,674390,20,High Probability Bot
User3429678,[FARM],2026-06-24,671,673885,11,High Probability Bot
User5428157,[FARM],2026-06-27,256,666731,20,High Probability Bot
User7097201,[FARM],2026-06-22,800,653076,18,High Probability Bot
User3694345,[FARM],2026-06-25,693,637268,25,High Probability Bot
User7968406,[FARM],2026-06-25,592,630125,23,High Probability Bot
User1888089,[FARM],2026-06-23,708,630102,15,High Probability Bot
User7173843,[FARM],2026-06-25,566,620185,21,High Probability Bot
User5467546,[FARM],2026-06-24,194,611659,23,High Probability Bot
User6693824,[FARM],2026-06-21,183,607192,19,High Probability Bot
User5404124,[FARM],2026-06-22,412,604853,11,High Probability Bot
User2410265,[FARM],2026-06-28,619,604536,25,High Probability Bot
User8245160,[FARM],2026-06-28,501,597534,10,High Probability Bot
User7023246,[FARM],2026-06-21,549,594972,22,High Probability Bot
User6882896,[FARM],2026-06-28,362,593641,23,High Probability Bot
User5238826,[FARM],2026-06-25,757,584640,8,High Probability Bot
User6251942,[FARM],2026-06-23,179,579461,25,High Probability Bot
User2347535,[FARM],2026-06-23,454,578494,8,High Probability Bot
User8149372,[FARM],2026-06-28,755,574356,11,High Probability Bot
User1737943,[FARM],2026-06-24,841,572651,15,High Probability Bot
User2194079,[FARM],2026-06-25,725,550603,9,High Probability Bot
VoidKnight7065,[BETA],2026-06-15,665659,149975,5,Standard Player
CrimsonRogue5824,[FARM],2026-06-08,709174,149956,1,Standard Player
ShadowBeast758,[VOID],2026-06-08,329219,149848,0,Standard Player
RadiantRogue8902,[BETA],2026-06-18,140418,149834,2,Standard Player
GhostSniper8847,[WAR],2026-06-19,401281,149813,4,Standard Player
ShadowWarlord9371,[NOVA],2026-06-08,71174,149755,0,Standard Player
GhostHunter9073,[NULL],2026-06-20,57200,149754,2,Standard Player
IronPhantom4550,[FARM],2026-06-18,294100,149739,4,Standard Player
FrostViper4313,[NOVA],2026-06-11,822548,149731,2,Standard Player
StormMage8497,[VOID],2026-06-09,175340,149719,4,Standard Player
FrostRogue4810,[NOVA],2026-06-26,150105,149718,2,Standard Player
DarkBeast6053,[VOID],2026-06-06,694453,149664,4,Standard Player
GhostWarlord4230,[APEX],2026-06-22,605710,149601,2,Standard Player
RadiantPhantom3520,[NULL],2026-06-15,654112,149586,4,Standard Player
CrimsonWarlord4147,[APEX],2026-06-06,257897,149520,3,Standard Player
StormSniper4032,[FARM],2026-06-17,605785,149504,5,Standard Player
CrimsonBeast1427,[WAR],2026-06-21,701024,149456,1,Standard Player
ShadowRogue3849,[KING],2026-06-15,210913,149437,5,Standard Player
StormMage3956,[KING],2026-06-16,92083,149389,1,Standard Player
ToxicWarlord1533,[VOID],2026-06-07,846339,149261,3,Standard Player
ShadowViper1463,[NULL],2026-06-08,296221,149260,2,Standard Player
VoidWarlord8204,[APEX],2026-06-16,640387,149242,2,Standard Player
FrostWarlord4968,[NULL],2026-06-26,143943,149235,0,Standard Player
VoidSniper5031,[KING],2026-06-16,707360,149198,2,Standard Player
ShadowHunter5596,[NOVA],2026-06-23,406591,149193,0,Standard Player
DarkMage281,[KING],2026-06-22,579363,149119,5,Standard Player
ToxicMage3206,[BETA],2026-06-14,374649,149119,2,Standard Player
StormSniper967,[APEX],2026-06-23,701811,149114,4,Standard Player
ShadowGoblin9166,[WAR],2026-06-17,777280,149067,1,Standard Player
StormWarlord8027,[APEX],2026-06-09,355952,149067,0,Standard Player
ShadowHunter7392,[NULL],2026-06-15,445281,149020,3,Standard Player
ToxicSniper2758,[APEX],2026-06-18,346096,148996,1,Standard Player
StormSniper2373,[NULL],2026-06-24,608319,148957,0,Standard Player
DarkSniper8751,[FARM],2026-06-12,46074,148948,3,Standard Player
RadiantPhantom6707,[BETA],2026-06-23,667289,148895,4,Standard Player
CrimsonKnight8336,[KING],2026-06-22,217065,148845,1,Standard Player
FrostRogue9787,[WAR],2026-06-17,264866,148819,1,Standard Player
ToxicRogue5625,[BETA],2026-06-08,477414,148788,5,Standard Player
ToxicSniper1345,[VOID],2026-06-07,346736,148776,4,Standard Player
DarkBeast8478,[NOVA],2026-06-14,14840,148764,1,Standard Player
GhostSniper5817,[APEX],2026-06-13,531927,148705,1,Standard Player
FrostBeast7044,[NOVA],2026-06-10,507279,148669,5,Standard Player
IronRogue409,[BETA],2026-06-26,804393,148646,1,Standard Player
CrimsonRogue7638,[BETA],2026-06-17,133587,148600,0,Standard Player
IronWarlord2488,[NOVA],2026-06-11,213567,148600,4,Standard Player
StormRogue4319,[NOVA],2026-06-22,531011,148579,3,Standard Player
DarkGoblin7912,[BETA],2026-06-06,89607,148536,3,Standard Player
ShadowViper6493,[NOVA],2026-06-20,440551,148511,0,Standard Player
RadiantGoblin1089,[VOID],2026-06-18,506001,148487,5,Standard Player
StormRogue9490,[NOVA],2026-06-11,657604,148461,0,Standard Player
StormBeast3157,[APEX],2026-06-18,628202,148457,0,Standard Player
FrostSniper1329,[WAR],2026-06-11,531502,148456,3,Standard Player
ShadowWarlord5488,[FARM],2026-06-07,121509,148432,4,Standard Player
IronHunter5757,[APEX],2026-06-09,159443,148423,3,Standard Player
IronViper5907,[NULL],2026-06-25,52090,148401,3,Standard Player
FrostSniper8378,[NOVA],2026-06-22,74584,148391,3,Standard Player
RadiantHunter3781,[APEX],2026-06-17,285181,148379,5,Standard Player
VoidBeast3069,[KING],2026-06-10,581355,148368,2,Standard Player
GhostWarlord3589,[APEX],2026-06-24,356927,148331,3,Standard Player
CrimsonGoblin2166,[NULL],2026-06-22,758354,148322,2,Standard Player
DarkRogue6532,[VOID],2026-06-21,473654,148272,2,Standard Player
StormKnight7009,[BETA],2026-06-07,466597,148263,5,Standard Player
StormPhantom2773,[FARM],2026-06-26,589982,148147,5,Standard Player
GhostBeast4008,[NOVA],2026-06-10,813848,148146,2,Standard Player
ShadowViper1630,[BETA],2026-06-24,293174,148144,1,Standard Player
StormRogue7060,[FARM],2026-06-10,107629,148140,3,Standard Player
StormViper8299,[FARM],2026-06-22,677618,148075,0,Standard Player
ToxicWarlord5496,[FARM],2026-06-09,77594,148028,3,Standard Player
StormPhantom5129,[BETA],2026-06-18,586442,147958,2,Standard Player
StormWarlord5666,[VOID],2026-06-19,632427,147920,5,Standard Player
FrostSniper3247,[NOVA],2026-06-11,541433,147915,0,Standard Player
RadiantRogue1715,[BETA],2026-06-25,319849,147903,0,Standard Player
ToxicRogue6516,[WAR],2026-06-26,761711,147699,2,Standard Player
CrimsonHunter1077,[APEX],2026-06-11,6238,147622,4,Standard Player
RadiantSniper3666,[VOID],2026-06-14,390254,147585,2,Standard Player
VoidWarlord6250,[FARM],2026-06-16,8201,147551,2,Standard Player
ToxicSniper49,[VOID],2026-06-07,419145,147514,4,Standard Player
VoidViper7110,[VOID],2026-06-11,61406,147459,0,Standard Player
FrostPhantom3807,[BETA],2026-06-09,221258,147457,4,Standard Player
FrostMage1189,[FARM],2026-06-26,715996,147443,5,Standard Player
FrostHunter3979,[WAR],2026-06-06,452659,147419,4,Standard Player
RadiantPhantom6278,[VOID],2026-06-20,791706,147391,2,Standard Player
StormHunter570,[WAR],2026-06-06,828319,147379,2,Standard Player
DarkSniper1819,[BETA],2026-06-07,121780,147370,1,Standard Player
DarkBeast2410,[WAR],2026-06-15,750997,147320,5,Standard Player
ShadowMage979,[VOID],2026-06-21,766460,147239,1,Standard Player
ToxicPhantom5683,[WAR],2026-06-26,125116,147239,5,Standard Player
GhostWarlord2775,[BETA],2026-06-06,660078,147216,3,Standard Player
IronWarlord1109,[VOID],2026-06-16,273926,147184,1,Standard Player
ShadowBeast5961,[KING],2026-06-15,265150,147161,3,Standard Player
FrostHunter671,[NULL],2026-06-23,434896,147108,1,Standard Player
ShadowViper3305,[BETA],2026-06-19,487492,147104,3,Standard Player
RadiantKnight5325,[BETA],2026-06-19,147141,147059,2,Standard Player
StormBeast6519,[WAR],2026-06-26,678607,147047,1,Standard Player
VoidRogue4833,[FARM],2026-06-24,117427,146987,0,Standard Player
StormMage8727,[KING],2026-06-07,358946,146959,3,Standard Player
ShadowGoblin9761,[BETA],2026-06-16,758705,146908,1,Standard Player
VoidWarlord9252,[KING],2026-06-15,549610,146901,1,Standard Player
GhostWarlord3421,[WAR],2026-06-17,804301,146892,0,Standard Player
DarkPhantom2745,[FARM],2026-06-16,155398,146889,2,Standard Player
RadiantWarlord3617,[FARM],2026-06-19,467676,146748,5,Standard Player
FrostGoblin7904,[NOVA],2026-06-11,157722,146688,2,Standard Player
GhostWarlord3850,[NOVA],2026-06-14,62005,146659,2,Standard Player
RadiantRogue6950,[APEX],2026-06-07,347212,146646,1,Standard Player
StormSniper1414,[BETA],2026-06-23,806751,146621,2,Standard Player
RadiantMage9742,[VOID],2026-06-25,162535,146608,0,Standard Player
FrostViper4624,[KING],2026-06-15,626437,146608,0,Standard Player
FrostHunter2151,[FARM],2026-06-09,766405,146527,1,Standard Player
VoidPhantom9928,[BETA],2026-06-06,524266,146471,0,Standard Player
RadiantHunter4605,[WAR],2026-06-18,35257,146452,1,Standard Player
DarkGoblin711,[VOID],2026-06-11,250306,146441,3,Standard Player
ToxicViper8351,[BETA],2026-06-17,24977,146421,1,Standard Player
ShadowGoblin6250,[NULL],2026-06-23,623629,146411,1,Standard Player
IronBeast9009,[FARM],2026-06-13,496007,146337,5,Standard Player
IronViper9408,[NOVA],2026-06-25,604774,146312,1,Standard Player
